#      x          Cp  
     1.00000    0.28024
     0.99837    0.22030
     0.99398   -0.01294
     0.98753   -0.35525
     0.97908   -0.57972
     0.96811   -0.60212
     0.95437   -0.56965
     0.93796   -0.57464
     0.91898   -0.58719
     0.89754   -0.59547
     0.87376   -0.60412
     0.84779   -0.61999
     0.81980   -0.64168
     0.78997   -0.66435
     0.75851   -0.69016
     0.72561   -0.72302
     0.69151   -0.75700
     0.65642   -0.79677
     0.62058   -0.84265
     0.58423   -0.89261
     0.54763   -0.95319
     0.51105   -1.02282
     0.47473   -1.10343
     0.43891   -1.18965
     0.40378   -1.27827
     0.36955   -1.39222
     0.33652   -1.50973
     0.30456   -1.55676
     0.27347   -1.57216
     0.24341   -1.58089
     0.21445   -1.58059
     0.18681   -1.59894
     0.16069   -1.62332
     0.13622   -1.62707
     0.11351   -1.63691
     0.09269   -1.64686
     0.07388   -1.64768
     0.05719   -1.66003
     0.04282   -1.63812
     0.03068   -1.45535
     0.02054   -1.19040
     0.01239   -0.90375
     0.00626   -0.56198
     0.00217   -0.16237
     0.00016    0.30827
     0.00023    0.77795
     0.00337    0.95956
     0.01034    0.77288
     0.02071    0.62489
     0.03417    0.51569
     0.05052    0.43202
     0.06959    0.37046
     0.09118    0.32050
     0.11512    0.27995
     0.14119    0.24656
     0.16911    0.21594
     0.19906    0.23496
     0.23157    0.28257
     0.26670    0.31957
     0.30427    0.35371
     0.34404    0.38345
     0.38575    0.41103
     0.42909    0.43514
     0.47370    0.45693
     0.51919    0.47607
     0.56515    0.49366
     0.61113    0.50858
     0.65666    0.52233
     0.70127    0.53429
     0.74446    0.54511
     0.78575    0.55404
     0.82465    0.56251
     0.86071    0.56909
     0.89349    0.57550
     0.92255    0.58012
     0.94754    0.58717
     0.96791    0.57015
     0.98299    0.50306
     0.99284    0.42906
     0.99828    0.37244
     1.00000    0.28024
