#      x          Cp  
     1.00000    0.26957
     0.99837    0.21116
     0.99398   -0.02206
     0.98753   -0.36348
     0.97908   -0.58475
     0.96811   -0.60301
     0.95437   -0.56592
     0.93796   -0.56660
     0.91898   -0.57499
     0.89754   -0.57888
     0.87376   -0.58293
     0.84779   -0.59408
     0.81980   -0.61080
     0.78997   -0.62821
     0.75851   -0.64845
     0.72561   -0.67526
     0.69151   -0.70280
     0.65642   -0.73553
     0.62058   -0.77367
     0.58423   -0.81516
     0.54763   -0.86615
     0.51105   -0.92495
     0.47473   -0.99320
     0.43891   -1.06558
     0.40378   -1.13888
     0.36955   -1.23430
     0.33652   -1.33102
     0.30456   -1.36034
     0.27347   -1.35886
     0.24341   -1.34964
     0.21445   -1.33038
     0.18681   -1.32569
     0.16069   -1.32339
     0.13622   -1.29931
     0.11351   -1.27641
     0.09269   -1.24820
     0.07388   -1.20548
     0.05719   -1.16328
     0.04282   -1.08136
     0.03068   -0.86176
     0.02054   -0.57315
     0.01239   -0.26346
     0.00626    0.08587
     0.00217    0.46480
     0.00016    0.82022
     0.00023    0.98905
     0.00337    0.51587
     0.01034    0.40129
     0.02071    0.28902
     0.03417    0.22727
     0.05052    0.17890
     0.06959    0.14755
     0.09118    0.12153
     0.11512    0.10090
     0.14119    0.08430
     0.16911    0.06760
     0.19906    0.10645
     0.23157    0.17455
     0.26670    0.22707
     0.30427    0.27396
     0.34404    0.31407
     0.38575    0.35036
     0.42909    0.38174
     0.47370    0.40972
     0.51919    0.43412
     0.56515    0.45629
     0.61113    0.47515
     0.65666    0.49237
     0.70127    0.50739
     0.74446    0.52094
     0.78575    0.53229
     0.82465    0.54297
     0.86071    0.55155
     0.89349    0.55980
     0.92255    0.56613
     0.94754    0.57490
     0.96791    0.55877
     0.98299    0.49161
     0.99284    0.41729
     0.99828    0.36122
     1.00000    0.26957
